Name;ID;Bundesland;2020;2021
Minden-Lübbecke, LK;057700;Nordrhein-Westfalen;0,40;1,02
Mittelsachsen, LK;145220;Sachsen;0,18;0,48
Mühldorf am Inn, LK;091830;Bayern;0,47;1,01
München, LK;091840;Bayern;1,38;2,85
Neckar-Odenwald-Kreis, LK;082250;Baden-Württemberg;0,36;1,03
Neuburg-Schrobenhausen, LK;091850;Bayern;0,40;0,94
Neumarkt in der Oberpfalz, LK;093730;Bayern;0,45;1,03
Neunkirchen, LK;100430;Saarland;0,35;0,77
Neustadt an der Aisch-Bad Windsheim, LK;095750;Bayern;0,61;1,18
Neustadt an der Waldnaab, LK;093740;Bayern;0,35;0,82
Neu-Ulm, LK;097750;Bayern;0,40;1,13
Neuwied, LK;071380;Rheinland-Pfalz;0,35;0,96
Nienburg (Weser), LK;032560;Niedersachsen;0,44;0,94
Nordfriesland, LK;010540;Schleswig-Holstein;0,76;1,50
Nordhausen, LK;160620;Thüringen;0,26;0,65
Nordsachsen, LK;147300;Sachsen;0,19;0,55
Nordwestmecklenburg, LK;130740;Mecklenburg-Vorpommern;0,23;0,55
Northeim, LK;031550;Niedersachsen;0,27;0,83
Nürnberger Land, LK;095740;Bayern;0,55;1,17
Oberallgäu, LK;097800;Bayern;0,54;1,08
Oberbergischer Kreis, LK;053740;Nordrhein-Westfalen;0,40;0,98
Oberhavel, LK;120650;Brandenburg;0,35;0,89
Oberspreewald-Lausitz, LK;120660;Brandenburg;0,15;0,36
Odenwaldkreis, LK;064370;Hessen;0,43;0,99
Oder-Spree, LK;120670;Brandenburg;0,24;0,62
Offenbach, LK;064380;Hessen;0,47;1,11
Oldenburg, LK;034580;Niedersachsen;0,33;0,89
Olpe, LK;059660;Nordrhein-Westfalen;0,38;0,99
Ortenaukreis, LK;083170;Baden-Württemberg;0,44;1,15
Osnabrück, LK;034590;Niedersachsen;0,33;0,87
Ostalbkreis, LK;081360;Baden-Württemberg;0,52;1,11
Ostallgäu, LK;097770;Bayern;0,51;1,09
Osterholz, LK;033560;Niedersachsen;0,43;1,02
Ostholstein, LK;010550;Schleswig-Holstein;0,35;0,91
Ostprignitz-Ruppin, LK;120680;Brandenburg;0,23;0,55
Paderborn, LK;057740;Nordrhein-Westfalen;0,55;1,45
Passau, LK;092750;Bayern;0,39;0,93
Peine, LK;031570;Niedersachsen;0,37;0,90
Pfaffenhofen an der Ilm, LK;091860;Bayern;0,54;1,14
Pinneberg, LK;010560;Schleswig-Holstein;0,47;1,32
Plön, LK;010570;Schleswig-Holstein;0,38;1,03
Potsdam-Mittelmark, LK;120690;Brandenburg;0,46;1,00
Prignitz, LK;120700;Brandenburg;0,17;0,61
Rastatt, LK;082160;Baden-Württemberg;0,42;1,37
Ravensburg, LK;084360;Baden-Württemberg;0,52;1,26
Recklinghausen, LK;055620;Nordrhein-Westfalen;0,31;0,87
Regen, LK;092760;Bayern;0,44;0,82
Regensburg, LK;093750;Bayern;0,49;1,04
Regionalverband Saarbrücken;100410;Saarland;0,37;0,93
Region Hannover;032410;Niedersachsen;0,45;1,16
Rems-Murr-Kreis, LK;081190;Baden-Württemberg;0,63;1,45
Rendsburg-Eckernförde, LK;010580;Schleswig-Holstein;0,41;1,02
Reutlingen, LK;084150;Baden-Württemberg;0,60;1,37
Rhein-Erft-Kreis, LK;053620;Nordrhein-Westfalen;0,37;0,97
Rheingau-Taunus-Kreis, LK;064390;Hessen;0,65;1,37
Rhein-Hunsrück-Kreis, LK;071400;Rheinland-Pfalz;0,30;0,86
Rheinisch-Bergischer Kreis, LK;053780;Nordrhein-Westfalen;0,56;1,36
Rhein-Kreis Neuss, LK;051620;Nordrhein-Westfalen;0,48;1,17
Rhein-Lahn-Kreis, LK;071410;Rheinland-Pfalz;0,29;0,86
Rhein-Neckar-Kreis, LK;082260;Baden-Württemberg;0,94;1,79
Rhein-Pfalz-Kreis, LK;073380;Rheinland-Pfalz;0,37;0,86
Rhein-Sieg-Kreis, LK;053820;Nordrhein-Westfalen;0,43;1,09
Rhön-Grabfeld, LK;096730;Bayern;0,89;1,69
Rosenheim, LK;091870;Bayern;0,63;1,26
Rostock, LK;130720;Mecklenburg-Vorpommern;0,27;0,62
Rotenburg (Wümme), LK;033570;Niedersachsen;0,30;0,83
Roth, LK;095760;Bayern;0,45;1,07
Rottal-Inn, LK;092770;Bayern;0,43;0,88
Rottweil, LK;083250;Baden-Württemberg;0,36;1,02
Saale-Holzland-Kreis, LK;160740;Thüringen;0,29;0,68
Saalekreis, LK;150880;Sachsen-Anhalt;0,23;0,52
Saale-Orla-Kreis, LK;160750;Thüringen;0,18;0,49
Saalfeld-Rudolstadt, LK;160730;Thüringen;0,20;0,54
Saarlouis, LK;100440;Saarland;0,26;0,85
Saarpfalz-Kreis, LK;100450;Saarland;0,35;0,91
Sächsische Schweiz-Osterzgebirge, LK;146280;Sachsen;0,25;0,66
