Name;ID;Bundesland;2020;2021
Miltenberg, LK;096760;Bayern;0,95;0,99
Minden-Lübbecke, LK;057700;Nordrhein-Westfalen;0,92;1,00
Mittelsachsen, LK;145220;Sachsen;2,06;2,16
Mühldorf am Inn, LK;091830;Bayern;2,18;2,30
München, LK;091840;Bayern;0,39;0,43
Neckar-Odenwald-Kreis, LK;082250;Baden-Württemberg;2,20;2,35
Neuburg-Schrobenhausen, LK;091850;Bayern;3,09;3,62
Neumarkt in der Oberpfalz, LK;093730;Bayern;4,01;4,17
Neunkirchen, LK;100430;Saarland;1,05;1,10
Neustadt an der Aisch-Bad Windsheim, LK;095750;Bayern;4,72;4,96
Neustadt an der Waldnaab, LK;093740;Bayern;3,14;3,58
Neu-Ulm, LK;097750;Bayern;1,20;1,28
Neuwied, LK;071380;Rheinland-Pfalz;0,40;0,44
Nienburg (Weser), LK;032560;Niedersachsen;4,75;5,28
Nordfriesland, LK;010540;Schleswig-Holstein;17,53;18,00
Nordhausen, LK;160620;Thüringen;1,51;1,59
Nordsachsen, LK;147300;Sachsen;2,58;2,67
Nordwestmecklenburg, LK;130740;Mecklenburg-Vorpommern;3,14;3,30
Northeim, LK;031550;Niedersachsen;3,20;3,25
Nürnberger Land, LK;095740;Bayern;0,55;0,63
Oberallgäu, LK;097800;Bayern;1,42;1,46
Oberbergischer Kreis, LK;053740;Nordrhein-Westfalen;0,35;0,41
Oberhavel, LK;120650;Brandenburg;1,82;1,84
Oberspreewald-Lausitz, LK;120660;Brandenburg;8,49;9,12
Odenwaldkreis, LK;064370;Hessen;0,96;1,01
Oder-Spree, LK;120670;Brandenburg;3,68;4,56
Offenbach, LK;064380;Hessen;0,17;0,19
Oldenburg, LK;034580;Niedersachsen;3,99;4,03
Olpe, LK;059660;Nordrhein-Westfalen;1,79;1,85
Ortenaukreis, LK;083170;Baden-Württemberg;1,00;1,13
Osnabrück, LK;034590;Niedersachsen;2,62;2,75
Ostalbkreis, LK;081360;Baden-Württemberg;1,56;1,64
Ostallgäu, LK;097770;Bayern;2,94;3,01
Osterholz, LK;033560;Niedersachsen;1,79;1,83
Ostholstein, LK;010550;Schleswig-Holstein;4,15;4,26
Ostprignitz-Ruppin, LK;120680;Brandenburg;7,68;8,10
Paderborn, LK;057740;Nordrhein-Westfalen;5,12;5,27
Passau, LK;092750;Bayern;3,64;4,00
Peine, LK;031570;Niedersachsen;1,99;2,02
Pfaffenhofen an der Ilm, LK;091860;Bayern;1,87;1,94
Pinneberg, LK;010560;Schleswig-Holstein;0,30;0,32
Plön, LK;010570;Schleswig-Holstein;0,92;0,95
Potsdam-Mittelmark, LK;120690;Brandenburg;3,16;3,43
Prignitz, LK;120700;Brandenburg;19,16;20,02
Rastatt, LK;082160;Baden-Württemberg;1,44;1,51
Ravensburg, LK;084360;Baden-Württemberg;1,39;1,48
Recklinghausen, LK;055620;Nordrhein-Westfalen;0,50;0,55
Regen, LK;092760;Bayern;1,76;1,85
Regensburg, LK;093750;Bayern;1,78;1,94
Regionalverband Saarbrücken;100410;Saarland;0,43;0,45
Region Hannover;032410;Niedersachsen;0,61;0,66
Rems-Murr-Kreis, LK;081190;Baden-Württemberg;0,41;0,44
Rendsburg-Eckernförde, LK;010580;Schleswig-Holstein;3,22;3,46
Reutlingen, LK;084150;Baden-Württemberg;1,07;1,12
Rhein-Erft-Kreis, LK;053620;Nordrhein-Westfalen;0,48;0,52
Rheingau-Taunus-Kreis, LK;064390;Hessen;0,55;0,59
Rhein-Hunsrück-Kreis, LK;071400;Rheinland-Pfalz;8,29;8,42
Rheinisch-Bergischer Kreis, LK;053780;Nordrhein-Westfalen;0,18;0,22
Rhein-Kreis Neuss, LK;051620;Nordrhein-Westfalen;0,82;0,92
Rhein-Lahn-Kreis, LK;071410;Rheinland-Pfalz;0,61;0,66
Rhein-Neckar-Kreis, LK;082260;Baden-Württemberg;0,47;0,52
Rhein-Pfalz-Kreis, LK;073380;Rheinland-Pfalz;0,66;0,70
Rhein-Sieg-Kreis, LK;053820;Nordrhein-Westfalen;0,26;0,29
Rhön-Grabfeld, LK;096730;Bayern;2,39;2,58
Rosenheim, LK;091870;Bayern;1,59;1,65
Rostock, LK;130720;Mecklenburg-Vorpommern;5,21;5,66
Rotenburg (Wümme), LK;033570;Niedersachsen;5,13;5,23
Roth, LK;095760;Bayern;1,56;1,69
Rottal-Inn, LK;092770;Bayern;5,05;5,25
Rottweil, LK;083250;Baden-Württemberg;1,32;1,46
Saale-Holzland-Kreis, LK;160740;Thüringen;3,33;3,82
Saalekreis, LK;150880;Sachsen-Anhalt;3,37;3,47
Saale-Orla-Kreis, LK;160750;Thüringen;2,28;2,46
Saalfeld-Rudolstadt, LK;160730;Thüringen;0,61;0,67
Saarlouis, LK;100440;Saarland;0,80;0,91
Saarpfalz-Kreis, LK;100450;Saarland;0,81;0,85
Sächsische Schweiz-Osterzgebirge, LK;146280;Sachsen;0,57;0,61
Salzlandkreis, LK;150890;Sachsen-Anhalt;5,29;5,49
Schaumburg, LK;032570;Niedersachsen;1,04;1,10
Schleswig-Flensburg, LK;010590;Schleswig-Holstein;8,35;8,79
Schmalkalden-Meiningen, LK;160660;Thüringen;0,86;0,93
Schwäbisch Hall, LK;081270;Baden-Württemberg;3,46;3,67
Schwalm-Eder-Kreis, LK;066340;Hessen;1,96;2,03
Schwandorf, LK;093760;Bayern;2,77;2,96
Schwarzwald-Baar-Kreis, LK;083260;Baden-Württemberg;0,95;1,00
Schweinfurt, LK;096780;Bayern;2,33;2,55
Segeberg, LK;010600;Schleswig-Holstein;1,22;1,28
Siegen-Wittgenstein, LK;059700;Nordrhein-Westfalen;0,53;0,58
Sigmaringen, LK;084370;Baden-Württemberg;2,11;2,28
Soest, LK;059740;Nordrhein-Westfalen;1,86;1,92
Sömmerda, LK;160680;Thüringen;3,26;3,57
Sonneberg, LK;160720;Thüringen;0,57;0,61
Spree-Neiße, LK;120710;Brandenburg;4,65;4,97
Stade, LK;033590;Niedersachsen;2,73;2,88
Städteregion Aachen;053340;Nordrhein-Westfalen;0,64;0,66
Starnberg, LK;091880;Bayern;0,56;0,62
Steinburg, LK;010610;Schleswig-Holstein;7,12;7,55
Steinfurt, LK;055660;Nordrhein-Westfalen;2,37;2,44
Stendal, LK;150900;Sachsen-Anhalt;12,28;12,62
Stormarn, LK;010620;Schleswig-Holstein;0,46;0,49
Straubing-Bogen, LK;092780;Bayern;4,45;4,67
St. Wendel, LK;100460;Saarland;3,05;3,53
Südliche Weinstraße, LK;073370;Rheinland-Pfalz;1,13;1,19
Südwestpfalz, LK;073400;Rheinland-Pfalz;2,22;2,28
Teltow-Fläming, LK;120720;Brandenburg;6,45;6,51
