PKW mit Elektroantrieb
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
PKW mit Elektroantrieb (%)";"2021
PKW mit Elektroantrieb (%)";"2022
PKW mit Elektroantrieb (%)"
Reutlingen, LK;08415000;084150000000;Baden-Württemberg;0,60;1,37;2,67
Rhein-Erft-Kreis, LK;05362000;053620000000;Nordrhein-Westfalen;0,37;0,97;2,21
Rheingau-Taunus-Kreis, LK;06439000;064390000000;Hessen;0,65;1,37;2,65
Rhein-Hunsrück-Kreis, LK;07140000;071400000000;Rheinland-Pfalz;0,30;0,86;2,00
Rheinisch-Bergischer Kreis, LK;05378000;053780000000;Nordrhein-Westfalen;0,56;1,36;2,91
Rhein-Kreis Neuss, LK;05162000;051620000000;Nordrhein-Westfalen;0,48;1,17;2,48
Rhein-Lahn-Kreis, LK;07141000;071410000000;Rheinland-Pfalz;0,29;0,86;1,95
Rhein-Neckar-Kreis, LK;08226000;082260000000;Baden-Württemberg;0,94;1,79;3,35
Rhein-Pfalz-Kreis, LK;07338000;073380000000;Rheinland-Pfalz;0,37;0,86;1,84
Rhein-Sieg-Kreis, LK;05382000;053820000000;Nordrhein-Westfalen;0,43;1,09;2,26
Rhön-Grabfeld, LK;09673000;096730000000;Bayern;0,89;1,69;2,58
Rosenheim, LK;09187000;091870000000;Bayern;0,63;1,26;2,56
Rostock, LK;13072000;130720000000;Mecklenburg-Vorpommern;0,27;0,62;1,33
Rotenburg (Wümme), LK;03357000;033570000000;Niedersachsen;0,30;0,83;1,92
Roth, LK;09576000;095760000000;Bayern;0,45;1,07;2,23
Rottal-Inn, LK;09277000;092770000000;Bayern;0,43;0,88;1,83
Rottweil, LK;08325000;083250000000;Baden-Württemberg;0,36;1,02;2,28
Saale-Holzland-Kreis, LK;16074000;160740000000;Thüringen;0,29;0,68;1,37
Saalekreis, LK;15088000;150880000000;Sachsen-Anhalt;0,23;0,52;1,17
Saale-Orla-Kreis, LK;16075000;160750000000;Thüringen;0,18;0,49;0,96
Saalfeld-Rudolstadt, LK;16073000;160730000000;Thüringen;0,20;0,54;1,14
Saarlouis, LK;10044000;100440000000;Saarland;0,26;0,85;1,79
Saarpfalz-Kreis, LK;10045000;100450000000;Saarland;0,35;0,91;2,02
Sächsische Schweiz-Osterzgebirge, LK;14628000;146280000000;Sachsen;0,25;0,66;1,30
Salzlandkreis, LK;15089000;150890000000;Sachsen-Anhalt;0,12;0,39;0,90
Schaumburg, LK;03257000;032570000000;Niedersachsen;0,34;0,88;2,06
Schleswig-Flensburg, LK;01059000;010590000000;Schleswig-Holstein;0,40;0,97;2,10
Schmalkalden-Meiningen, LK;16066000;160660000000;Thüringen;0,23;0,62;1,23
Schwäbisch Hall, LK;08127000;081270000000;Baden-Württemberg;0,51;1,12;2,31
Schwalm-Eder-Kreis, LK;06634000;066340000000;Hessen;0,34;0,92;2,10
Schwandorf, LK;09376000;093760000000;Bayern;0,34;0,79;1,75
Schwarzwald-Baar-Kreis, LK;08326000;083260000000;Baden-Württemberg;0,45;1,21;2,47
Schweinfurt, LK;09678000;096780000000;Bayern;0,55;1,04;2,11
Segeberg, LK;01060000;010600000000;Schleswig-Holstein;0,50;1,25;2,52
Siegen-Wittgenstein, LK;05970000;059700000000;Nordrhein-Westfalen;0,37;1,11;2,41
Sigmaringen, LK;08437000;084370000000;Baden-Württemberg;0,34;0,86;1,97
Soest, LK;05974000;059740000000;Nordrhein-Westfalen;0,49;1,31;2,67
Sömmerda, LK;16068000;160680000000;Thüringen;0,21;0,52;1,16
Sonneberg, LK;16072000;160720000000;Thüringen;0,22;0,54;1,16
Spree-Neiße, LK;12071000;120710000000;Brandenburg;0,22;0,46;0,96
Stade, LK;03359000;033590000000;Niedersachsen;0,38;0,95;2,02
Städteregion Aachen;05334000;053340000000;Nordrhein-Westfalen;0,56;1,37;2,73
Starnberg, LK;09188000;091880000000;Bayern;1,10;2,14;3,89
Steinburg, LK;01061000;010610000000;Schleswig-Holstein;0,32;0,80;1,79
Steinfurt, LK;05566000;055660000000;Nordrhein-Westfalen;0,36;1,06;2,49
Stendal, LK;15090000;150900000000;Sachsen-Anhalt;0,16;0,49;1,05
Stormarn, LK;01062000;010620000000;Schleswig-Holstein;0,52;1,38;2,82
Straubing-Bogen, LK;09278000;092780000000;Bayern;0,33;0,73;1,57
St. Wendel, LK;10046000;100460000000;Saarland;0,22;0,72;1,79
Südliche Weinstraße, LK;07337000;073370000000;Rheinland-Pfalz;0,37;0,98;2,10
Südwestpfalz, LK;07340000;073400000000;Rheinland-Pfalz;0,22;0,69;1,60
Teltow-Fläming, LK;12072000;120720000000;Brandenburg;0,36;0,86;1,73
Tirschenreuth, LK;09377000;093770000000;Bayern;0,24;0,68;1,69
Traunstein, LK;09189000;091890000000;Bayern;0,58;1,17;2,28
Trier-Saarburg, LK;07235000;072350000000;Rheinland-Pfalz;0,36;0,93;2,04
Tübingen, LK;08416000;084160000000;Baden-Württemberg;0,61;1,41;2,73
Tuttlingen, LK;08327000;083270000000;Baden-Württemberg;0,48;1,27;2,81
Uckermark, LK;12073000;120730000000;Brandenburg;0,22;0,50;0,97
Uelzen, LK;03360000;033600000000;Niedersachsen;0,33;1,01;2,14
Unna, LK;05978000;059780000000;Nordrhein-Westfalen;0,39;1,05;2,15
Unstrut-Hainich-Kreis, LK;16064000;160640000000;Thüringen;0,28;0,75;1,53
Unterallgäu, LK;09778000;097780000000;Bayern;0,37;0,81;1,72
Vechta, LK;03460000;034600000000;Niedersachsen;0,32;0,99;2,47
Verden, LK;03361000;033610000000;Niedersachsen;0,31;0,86;2,06
Viersen, LK;05166000;051660000000;Nordrhein-Westfalen;0,38;1,03;2,18
Vogelsbergkreis, LK;06535000;065350000000;Hessen;0,25;0,72;1,66
Vogtlandkreis, LK;14523000;145230000000;Sachsen;0,19;0,54;1,25
Vorpommern-Greifswald, LK;13075000;130750000000;Mecklenburg-Vorpommern;0,17;0,70;1,16
Vorpommern-Rügen, LK;13073000;130730000000;Mecklenburg-Vorpommern;0,23;0,55;1,15
Vulkaneifel, LK;07233000;072330000000;Rheinland-Pfalz;0,27;0,86;1,83
Waldeck-Frankenberg, LK;06635000;066350000000;Hessen;0,31;0,88;1,84
Waldshut, LK;08337000;083370000000;Baden-Württemberg;0,56;1,23;2,45
Warendorf, LK;05570000;055700000000;Nordrhein-Westfalen;0,36;1,09;2,24
Wartburgkreis, LK;16063000;160630000000;Thüringen;0,21;0,55;1,31
Weilheim-Schongau, LK;09190000;091900000000;Bayern;0,57;1,20;2,26
Weimarer Land, LK;16071000;160710000000;Thüringen;0,29;0,65;1,35
Weißenburg-Gunzenhausen, LK;09577000;095770000000;Bayern;0,49;1,16;2,20
Werra-Meißner-Kreis, LK;06636000;066360000000;Hessen;0,25;0,73;1,75
Wesel, LK;05170000;051700000000;Nordrhein-Westfalen;0,36;1,01;2,17
Wesermarsch, LK;03461000;034610000000;Niedersachsen;0,27;0,62;1,43
Westerwaldkreis, LK;07143000;071430000000;Rheinland-Pfalz;0,35;0,99;2,19
Wetteraukreis, LK;06440000;064400000000;Hessen;0,53;1,18;2,41
Wittenberg, LK;15091000;150910000000;Sachsen-Anhalt;0,18;0,39;0,94
Wittmund, LK;03462000;034620000000;Niedersachsen;0,21;0,53;1,40
Wolfenbüttel, LK;03158000;031580000000;Niedersachsen;0,34;0,92;2,10
Wunsiedel im Fichtelgebirge, LK;09479000;094790000000;Bayern;0,33;0,83;1,76
Würzburg, LK;09679000;096790000000;Bayern;0,57;1,28;2,53
Zollernalbkreis, LK;08417000;084170000000;Baden-Württemberg;0,42;1,06;2,26
Zwickau, LK;14524000;145240000000;Sachsen;0,26;0,77;1,42

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von
Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen;
weitere Detailinformationen finden Sie auf der Seite Methodik."
Quelle: Statistische Ämter der Länder,  ZEFIR,  eigene Berechnungen
"Datenlizenz Deutschland - Namensnennung - Version 2.0
https://www.govdata.de/dl-de/by-2-0"

Quellenangabe bei Verwendung der Daten:
"Bertelsmann Stiftung
www.wegweiser-kommune.de
https://www.wegweiser-kommune.de"

Die Indikatorenerläuterungen finden Sie hier:
https://www.wegweiser-kommune.de/data-api/rest/indicator/export/pkw-mit-elektroantrieb.pdf
