Strom aus erneuerbaren Quellen
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
Strom aus erneuerbaren Quellen (kW je Einwohner:in)";"2021
Strom aus erneuerbaren Quellen (kW je Einwohner:in)"
Pinneberg, LK;01056000;010560000000;Schleswig-Holstein;0,30;0,32
Plön, LK;01057000;010570000000;Schleswig-Holstein;0,92;0,95
Potsdam-Mittelmark, LK;12069000;120690000000;Brandenburg;3,16;3,43
Prignitz, LK;12070000;120700000000;Brandenburg;19,16;20,02
Rastatt, LK;08216000;082160000000;Baden-Württemberg;1,44;1,51
Ravensburg, LK;08436000;084360000000;Baden-Württemberg;1,39;1,48
Recklinghausen, LK;05562000;055620000000;Nordrhein-Westfalen;0,50;0,55
Regen, LK;09276000;092760000000;Bayern;1,76;1,85
Regensburg, LK;09375000;093750000000;Bayern;1,78;1,94
Regionalverband Saarbrücken;10041000;100410000000;Saarland;0,43;0,45
Region Hannover;03241000;032410000000;Niedersachsen;0,61;0,66
Rems-Murr-Kreis, LK;08119000;081190000000;Baden-Württemberg;0,41;0,44
Rendsburg-Eckernförde, LK;01058000;010580000000;Schleswig-Holstein;3,22;3,46
Reutlingen, LK;08415000;084150000000;Baden-Württemberg;1,07;1,12
Rhein-Erft-Kreis, LK;05362000;053620000000;Nordrhein-Westfalen;0,48;0,52
Rheingau-Taunus-Kreis, LK;06439000;064390000000;Hessen;0,55;0,59
Rhein-Hunsrück-Kreis, LK;07140000;071400000000;Rheinland-Pfalz;8,29;8,42
Rheinisch-Bergischer Kreis, LK;05378000;053780000000;Nordrhein-Westfalen;0,18;0,22
Rhein-Kreis Neuss, LK;05162000;051620000000;Nordrhein-Westfalen;0,82;0,92
Rhein-Lahn-Kreis, LK;07141000;071410000000;Rheinland-Pfalz;0,61;0,66
Rhein-Neckar-Kreis, LK;08226000;082260000000;Baden-Württemberg;0,47;0,52
Rhein-Pfalz-Kreis, LK;07338000;073380000000;Rheinland-Pfalz;0,66;0,70
Rhein-Sieg-Kreis, LK;05382000;053820000000;Nordrhein-Westfalen;0,26;0,29
Rhön-Grabfeld, LK;09673000;096730000000;Bayern;2,39;2,58
Rosenheim, LK;09187000;091870000000;Bayern;1,59;1,65
Rostock, LK;13072000;130720000000;Mecklenburg-Vorpommern;5,21;5,66
Rotenburg (Wümme), LK;03357000;033570000000;Niedersachsen;5,13;5,23
Roth, LK;09576000;095760000000;Bayern;1,56;1,69
Rottal-Inn, LK;09277000;092770000000;Bayern;5,05;5,25
Rottweil, LK;08325000;083250000000;Baden-Württemberg;1,32;1,46
Saale-Holzland-Kreis, LK;16074000;160740000000;Thüringen;3,33;3,82
Saalekreis, LK;15088000;150880000000;Sachsen-Anhalt;3,37;3,47
Saale-Orla-Kreis, LK;16075000;160750000000;Thüringen;2,28;2,46
Saalfeld-Rudolstadt, LK;16073000;160730000000;Thüringen;0,61;0,67
Saarlouis, LK;10044000;100440000000;Saarland;0,80;0,91
Saarpfalz-Kreis, LK;10045000;100450000000;Saarland;0,81;0,85
Sächsische Schweiz-Osterzgebirge, LK;14628000;146280000000;Sachsen;0,57;0,61
Salzlandkreis, LK;15089000;150890000000;Sachsen-Anhalt;5,29;5,49
Schaumburg, LK;03257000;032570000000;Niedersachsen;1,04;1,10
Schleswig-Flensburg, LK;01059000;010590000000;Schleswig-Holstein;8,35;8,79
Schmalkalden-Meiningen, LK;16066000;160660000000;Thüringen;0,86;0,93
Schwäbisch Hall, LK;08127000;081270000000;Baden-Württemberg;3,46;3,67
Schwalm-Eder-Kreis, LK;06634000;066340000000;Hessen;1,96;2,03
Schwandorf, LK;09376000;093760000000;Bayern;2,77;2,96
Schwarzwald-Baar-Kreis, LK;08326000;083260000000;Baden-Württemberg;0,95;1,00
Schweinfurt, LK;09678000;096780000000;Bayern;2,33;2,55
Segeberg, LK;01060000;010600000000;Schleswig-Holstein;1,22;1,28
Siegen-Wittgenstein, LK;05970000;059700000000;Nordrhein-Westfalen;0,53;0,58
Sigmaringen, LK;08437000;084370000000;Baden-Württemberg;2,11;2,28
Soest, LK;05974000;059740000000;Nordrhein-Westfalen;1,86;1,92
Sömmerda, LK;16068000;160680000000;Thüringen;3,26;3,57
Sonneberg, LK;16072000;160720000000;Thüringen;0,57;0,61
Spree-Neiße, LK;12071000;120710000000;Brandenburg;4,65;4,97
Stade, LK;03359000;033590000000;Niedersachsen;2,73;2,88
Städteregion Aachen;05334000;053340000000;Nordrhein-Westfalen;0,64;0,66
Starnberg, LK;09188000;091880000000;Bayern;0,56;0,62
Steinburg, LK;01061000;010610000000;Schleswig-Holstein;7,12;7,55
Steinfurt, LK;05566000;055660000000;Nordrhein-Westfalen;2,37;2,44
Stendal, LK;15090000;150900000000;Sachsen-Anhalt;12,28;12,62
Stormarn, LK;01062000;010620000000;Schleswig-Holstein;0,46;0,49
Straubing-Bogen, LK;09278000;092780000000;Bayern;4,45;4,67
St. Wendel, LK;10046000;100460000000;Saarland;3,05;3,53
Südliche Weinstraße, LK;07337000;073370000000;Rheinland-Pfalz;1,13;1,19
Südwestpfalz, LK;07340000;073400000000;Rheinland-Pfalz;2,22;2,28
Teltow-Fläming, LK;12072000;120720000000;Brandenburg;6,45;6,51
Tirschenreuth, LK;09377000;093770000000;Bayern;2,61;3,11
Traunstein, LK;09189000;091890000000;Bayern;1,71;1,83
Trier-Saarburg, LK;07235000;072350000000;Rheinland-Pfalz;2,83;3,18
Tübingen, LK;08416000;084160000000;Baden-Württemberg;0,47;0,52
Tuttlingen, LK;08327000;083270000000;Baden-Württemberg;1,20;1,29
Uckermark, LK;12073000;120730000000;Brandenburg;14,64;15,84
Uelzen, LK;03360000;033600000000;Niedersachsen;4,91;5,47
Unna, LK;05978000;059780000000;Nordrhein-Westfalen;0,59;0,62
Unstrut-Hainich-Kreis, LK;16064000;160640000000;Thüringen;3,71;4,08
Unterallgäu, LK;09778000;097780000000;Bayern;2,76;2,82
Vechta, LK;03460000;034600000000;Niedersachsen;2,89;2,99
Verden, LK;03361000;033610000000;Niedersachsen;2,14;2,26
Viersen, LK;05166000;051660000000;Nordrhein-Westfalen;0,78;0,83
Vogelsbergkreis, LK;06535000;065350000000;Hessen;6,18;6,34
Vogtlandkreis, LK;14523000;145230000000;Sachsen;0,67;0,72
Vorpommern-Greifswald, LK;13075000;130750000000;Mecklenburg-Vorpommern;5,65;5,85
Vorpommern-Rügen, LK;13073000;130730000000;Mecklenburg-Vorpommern;3,89;4,00
Vulkaneifel, LK;07233000;072330000000;Rheinland-Pfalz;4,10;4,15
Waldeck-Frankenberg, LK;06635000;066350000000;Hessen;2,68;2,79
Waldshut, LK;08337000;083370000000;Baden-Württemberg;2,07;2,13
Warendorf, LK;05570000;055700000000;Nordrhein-Westfalen;2,16;2,22
Wartburgkreis, LK;16063000;160630000000;Thüringen;1,73;1,21
